last_window_sale_amount,shop_code,class_code,date,time,total_sale_amount,last_hour_sale_amount,total_pass_rate,last_hour_pass_rate,rest_inventory,prom,discount,
0,100001001,0401,2018-06-22,16,35,0,0.764472191,0.018728717,32,0,,
10.62,100001001,0401,2018-06-22,17,36,1,0.797956867,0.033484677,31,1,6.9,
14.35,100001001,0401,2018-06-22,18,39,3,0.838251986,0.040295119,28,1,6.9,
49.12,100001001,0401,2018-06-22,19,46,7,0.887627696,0.049375709,21,1,5.9,
31.85,100001001,0401,2018-06-22,20,54,8,0.927922815,0.040295119,12,1,5.9,
9.7,100001001,0401,2018-06-22,21,56,2,0.951759364,0.023836549,11,1,5.9,
10.61,100001001,0401,2018-06-22,22,59,3,0.97446084,0.022701476,8,1,5.9,
0,100001001,0401,2018-06-22,23,59,0,0.988081725,0.013620885,8,1,2.9,
154.7,100001001,0401,2018-06-25,13,31,17,0.642895157,0.214475785,31,0,,
41.8,100001001,0401,2018-06-25,14,36,5,0.708887706,0.065992549,26,0,,
0,100001001,0401,2018-06-25,15,36,0,0.746141565,0.037253858,26,0,,
24.8,100001001,0401,2018-06-25,16,39,3,0.772219266,0.026077701,23,0,,
8,100001001,0401,2018-06-25,17,40,1,0.799361362,0.027142097,22,1,8.9,
26.48,100001001,0401,2018-06-25,18,43,3,0.832889835,0.033528473,19,1,8.9,
34.26,100001001,0401,2018-06-25,19,47,4,0.873336881,0.040447046,15,1,7.9,
18.37,100001001,0401,2018-06-25,20,50,3,0.90792975,0.034592869,12,1,6.9,
12.28,100001001,0401,2018-06-25,21,52,2,0.934007451,0.026077701,10,1,6.9,
11.04,100001001,0401,2018-06-25,22,54,2,0.964874933,0.030867483,8,1,6.9,
5.52,100001001,0401,2018-06-25,23,55,1,0.986162853,0.021287919,7,1,3.9,
277.3,100001001,0401,2018-06-26,13,39,29,0.615217391,0.189673913,29,0,,
30.1,100001001,0401,2018-06-26,14,42,3,0.7,0.084782609,28,1,8.9,
35.43,100001001,0401,2018-06-26,15,46,4,0.726086957,0.026086957,24,1,8.9,
0,100001001,0401,2018-06-26,16,46,0,0.760869565,0.034782609,24,1,8.9,
0,100001001,0401,2018-06-26,17,46,0,0.790217391,0.029347826,24,1,7.9,
21,100001001,0401,2018-06-26,18,49,3,0.819565217,0.029347826,21,1,7.9,
16.36,100001001,0401,2018-06-26,19,51,2,0.858152174,0.038586957,19,1,5.9,
23.75,100001001,0401,2018-06-26,20,56,5,0.901086957,0.042934783,14,1,6.9,
0,100001001,0401,2018-06-26,21,56,0,0.92826087,0.027173913,14,1,5.9,
14.31,100001001,0401,2018-06-26,22,59,3,0.958695652,0.030434783,11,1,6.9,
3.82,100001001,0401,2018-06-26,23,60,1,0.982608696,0.023913043,10,1,3.9,
209.1,100001001,0401,2018-06-27,13,42,23,0.6378579,0.170201485,23,0,,
51.6,100001001,0401,2018-06-27,14,48,6,0.706256628,0.068398727,17,0,,
48.1,100001001,0401,2018-06-27,15,53,5,0.745493107,0.039236479,12,0,,
0,100001001,0401,2018-06-27,16,53,0,0.766171792,0.020678685,12,0,,
7.8,100001001,0401,2018-06-27,17,54,1,0.804878049,0.038706257,11,0,,
8,100001001,0401,2018-06-27,18,55,1,0.833510074,0.028632025,10,0,,
0,100001001,0401,2018-06-27,19,55,0,0.867444327,0.033934252,10,0,,
17.8,100001001,0401,2018-06-27,20,57,2,0.901378579,0.033934252,8,0,,
0,100001001,0401,2018-06-27,21,57,0,0.934782609,0.03340403,8,1,7.9,
17.18,100001001,0401,2018-06-27,22,60,3,0.963414634,0.028632025,5,1,7.9,
0,100001001,0401,2018-06-27,23,60,0,0.98621421,0.022799576,5,1,3.9,
170.9,100001001,0401,2018-06-28,13,30,18,0.619244697,0.155199172,24,0,,
17.8,100001001,0401,2018-06-28,14,32,2,0.6937403,0.074495603,22,1,8.9,
6.94,100001001,0401,2018-06-28,15,33,1,0.722710812,0.028970512,21,1,8.9,
46.7,100001001,0401,2018-06-28,16,39,6,0.75685463,0.034143818,15,0,,
22.3,100001001,0401,2018-06-28,17,41,2,0.777030523,0.020175892,13,0,,
8.8,100001001,0401,2018-06-28,18,42,1,0.814795654,0.037765132,12,0,,
9.8,100001001,0401,2018-06-28,19,43,1,0.853595447,0.038799793,11,1,7.9,
13.52,100001001,0401,2018-06-28,20,45,2,0.894464563,0.040869115,9,1,7.9,
7.74,100001001,0401,2018-06-28,21,46,1,0.928608381,0.034143818,8,1,7.9,
0,100001001,0401,2018-06-28,22,46,0,0.959130885,0.030522504,8,1,6.9,
11.48,100001001,0401,2018-06-28,23,48,2,0.977754785,0.018623901,6,1,3.9,
127.2,100001001,0401,2018-06-29,13,34,15,0.645435244,0.170912951,27,0,,
